paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma prime size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110
1988,CMSX2 49,760,750,21,45.039,17.963,0.45,0.36244,64.959,31.316,-0.375,0.429625,0.932785569
1988,CMSX2 50,760,750,15,42.781,8.525,0.45,0.36244,64.959,31.316,-0.375,0.449037,0.920672461
1988,CMSX2 51,760,750,9,43.78,6.004,0.45,0.36244,64.959,31.316,-0.375,0.438653,0.954387637
1988,CMSX2 52,760,750,44,44.093,2.147,0.45,0.36244,64.959,31.316,-0.375,0.423462,0.969140088
mackay,MARM 247 01,774,724,179,3,42,0.23,0.36237,65.455,28.681,-0.392,0.428467,1
mackay,B ,774,724,26,7,38.5,0.23,0.36237,65.455,28.681,-0.392,0.449715,0.9911922
mackay,C,774,724,21,10,36,0.23,0.36237,65.455,28.681,-0.392,0.462535,0.980572281
mackay,D,774,724,37,8,37.5,0.23,0.36237,65.455,28.681,-0.392,0.455178,0.989371191
mackay,E,774,724,20,28,17,0.3,0.36237,65.455,28.681,-0.392,0.487496,1
mackay,F,774,724,138,45,28,0.3,0.36237,65.455,28.681,-0.392,0.376596,0.857510436
mackay,G,774,724,1242,52.5,34.5,0.3,0.36237,65.455,28.681,-0.392,0.29369,0.979597535
mackay,H,774,724,1,39,7,0.3,0.36237,65.455,28.681,-0.392,0.45906,0.933989021
mackay,I,774,724,0.5,43,6.5,0.3,0.36237,65.455,28.681,-0.392,0.444032,0.931200904
mackay,J,774,724,14,8,39.5,0.3,0.36237,65.455,28.681,-0.392,0.441365,0.994294971
mackay,K,774,724,26,9.5,36,0.3,0.36237,65.455,28.681,-0.392,0.462839,0.986565523
mackay,L,774,724,41,5.5,40.5,0.3,0.36237,65.455,28.681,-0.392,0.437585,0.992118103
mackay,M,774,724,53,10.5,35,0.3,0.36237,65.455,28.681,-0.392,0.467578,0.984659244
