paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma_prime_size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110,y_log10,T_K,Inv_T_K,Log_Stress,cos_001,cos_011,RSS_110,Log_RSS_110,
1988,Alloy454 20,760,758,71,30.789,28.894,0.5,0.36321,63.407,19.237,-0.208,0.439173,0.948284617,1.851258349,1033.15,0.967913662,2.879669206,0.859058186,0.875515131,332.893134,2.522304838,
1988,Alloy454 21,760,758,36,39.423,29.142,0.5,0.36321,63.407,19.237,-0.208,0.394468,0.951980896,1.556302501,1033.15,0.967913662,2.879669206,0.772478714,0.873415486,299.006744,2.475680984,
1988,Alloy454 22,760,758,30,46.568,21.545,0.5,0.36321,63.407,19.237,-0.208,0.408375,0.943378023,1.477121255,1033.15,0.967913662,2.879669206,0.687493199,0.930129432,309.54825,2.490728353,
1988,CMSX2 19,760,750,412,0,45,0.23,0.36244,64.959,31.316,-0.375,0.408248,1,2.614897216,1033.15,0.967913662,2.875061263,1,0.707106781,306.186,2.485985329,
1988,CMSX2 20,760,750,230,3.424,41.868,0.23,0.36244,64.959,31.316,-0.375,0.429478,0.997550515,2.361727836,1033.15,0.967913662,2.875061263,0.998214898,0.744684418,322.1085,2.508002185,
1988,CMSX2 21,760,750,1203,50.821,32.612,0.23,0.36244,64.959,31.316,-0.375,0.312267,0.948089295,3.080265627,1033.15,0.967913662,2.875061263,0.631745228,0.842339539,234.20025,2.369587354,
1988,CMSX2 22,760,750,1012,52.396,31.741,0.23,0.36244,64.959,31.316,-0.375,0.3139,0.984415419,3.005180513,1033.15,0.967913662,2.875061263,0.610200475,0.850434872,235.425,2.371852579,
1988,CMSX2 23,760,750,459,52.869,32.116,0.3,0.36244,64.959,31.316,-0.375,0.308759,0.991650446,2.661812686,1033.15,0.967913662,2.875061263,0.603639434,0.846973494,231.56925,2.364680889,
1988,CMSX2 24,760,750,518,48.632,30.288,0.3,0.36244,64.959,31.316,-0.375,0.341913,0.913282034,2.71432976,1033.15,0.967913662,2.875061263,0.660892821,0.8635012,256.43475,2.408976877,
1988,CMSX2 25,760,750,347,48.487,28.195,0.3,0.36244,64.959,31.316,-0.375,0.359182,0.930057742,2.540329475,1033.15,0.967913662,2.875061263,0.662789964,0.881344687,269.3865,2.430375828,
1988,CMSX2 26,760,750,15,41.427,19.92,0.3,0.36244,64.959,31.316,-0.375,0.440966,0.840912905,1.176091259,1033.15,0.967913662,2.875061263,0.74979935,0.940169255,330.7245,2.519466369,
