paper_id,spec_no,alloy_id,T_C,T_K,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Stt(Sol. Treatment time),1satt,2satt,StT,1satT,2satT,Gamma prime size,Schmid110_1,Schmid110_2,Schmid110_3,Schmid112_1,Schmid112_2,Schmid112_3,Schmid112_to_110_ratio,Schmid112_range,Schmid 11,Schmid110_1_minus_Schmid110_2,Schmid112_to_110_ratio,Schmid112_range,Schmid110_range,Schmid112_1_minus_Schmid112_2,SFE,Liquidus,Misfit_percent
1988,Alloy454 22,Alloy454,760,1033.15,758,30,46.568,21.545,1,2,,1300,1290,,0.5,0.408375,0.385252,0.227903,0.458201,0.249126,0.231989,1.122009,0.226212,0.023123,0.023123,1.122009,0.226212,0.180472,0.209075,16.41,1623,-0.0335
1988,Alloy454 23,Alloy454,760,1033.15,758,27,53.7,34.211,1,2,,1300,1290,,0.5,0.286182,0.282584,0.275327,0.328377,0.313862,0.299939,1.147442,0.028438,0.003598,0.003598,1.147442,0.028438,0.010855,0.014515,16.41,1623,-0.0335
1988,CMSX2 19,CMSX-2,760,1033.15,750,412,0,45,3,4,48,1300,1050,850,0.23,0.408248,0.408248,0.408248,0.471405,0.471405,0.471405,1.154701,0,0,0,1.154701,0,0,0,26.7243,1665.8,-0.2
1988,CMSX2 20,CMSX-2,760,1033.15,750,230,3.424,41.868,3,4,48,1300,1050,850,0.23,0.429478,0.428426,0.415643,0.486716,0.476895,0.462084,1.133275,0.024632,0.001052,0.001052,1.133275,0.024632,0.013835,0.009821,26.7243,1665.8,-0.2
1988,CMSX2 21,CMSX-2,760,1033.15,750,1203,50.821,32.612,3,4,48,1300,1050,850,0.23,0.312267,0.296057,0.292958,0.349427,0.328193,0.258205,1.118999,0.091222,0.01621,0.01621,1.118999,0.091222,0.019309,0.021234,26.7243,1665.8,-0.2
1988,CMSX2 22,CMSX-2,760,1033.15,750,1012,52.396,31.741,3,4,48,1300,1050,850,0.23,0.3139,0.309008,0.266925,0.359636,0.29742,0.280169,1.145704,0.079467,0.004892,0.004892,1.145704,0.079467,0.046975,0.062216,26.7243,1665.8,-0.2
1988,CMSX2 23,CMSX-2,760,1033.15,750,459,52.869,32.116,3,4,48,1300,1050,850,0.3,0.308759,0.306181,0.264584,0.355036,0.296327,0.287112,1.149881,0.067924,0.002578,0.002578,1.149881,0.067924,0.044175,0.058709,26.7243,1665.8,-0.2
1988,CMSX2 24,CMSX-2,760,1033.15,750,518,48.632,30.288,3,4,48,1300,1050,850,0.3,0.341913,0.312263,0.299083,0.377689,0.322502,0.223785,1.104634,0.153904,0.02965,0.02965,1.104634,0.153904,0.04283,0.055187,26.7243,1665.8,-0.2
1988,CMSX2 25,CMSX-2,760,1033.15,750,347,48.487,28.195,3,4,48,1300,1050,850,0.3,0.359182,0.33406,0.279008,0.400243,0.297144,0.221878,1.114319,0.178365,0.025122,0.025122,1.114319,0.178365,0.080174,0.103099,26.7243,1665.8,-0.2
1988,CMSX2 26,CMSX-2,760,1033.15,750,15,41.427,19.92,3,4,48,1300,1050,850,0.3,0.440966,0.370814,0.290045,0.468681,0.295093,0.268865,1.062852,0.199816,0.070152,0.070152,1.062852,0.199816,0.150921,0.173588,26.7243,1665.8,-0.2
1988,CMSX2 27,CMSX-2,760,1033.15,750,50,48.361,20.755,3,4,48,1300,1050,850,0.3,0.402644,0.400102,0.212271,0.463466,0.242567,0.233935,1.151055,0.229531,0.002542,0.002542,1.151055,0.229531,0.190373,0.220899,26.7243,1665.8,-0.2
1988,CMSX2 28,CMSX-2,760,1033.15,750,4,40.357,11.106,3,4,48,1300,1050,850,0.3,0.462962,0.395013,0.377761,0.495352,0.386253,0.306522,1.069962,0.18883,0.067949,0.067949,1.069962,0.18883,0.085201,0.109099,26.7243,1665.8,-0.2
1988,CMSX2 29,CMSX-2,760,1033.15,750,19,29.956,22.14,3,4,48,1300,1050,850,0.3,0.483392,0.400322,0.348819,0.45047,0.386789,0.384557,0.931894,0.065913,0.08307,0.08307,0.931894,0.065913,0.134573,0.063681,26.7243,1665.8,-0.2
1988,CMSX2 30,CMSX-2,760,1033.15,750,343,11.118,35.836,3,4,48,1300,1050,850,0.3,0.461945,0.448538,0.42842,0.498572,0.468096,0.437608,1.079289,0.060964,0.013407,0.013407,1.079289,0.060964,0.033525,0.030476,26.7243,1665.8,-0.2
1988,CMSX2 31,CMSX-2,760,1033.15,750,430,9.904,35.24,3,4,48,1300,1050,850,0.3,0.466069,0.462398,0.396856,0.49397,0.485923,0.419288,1.059865,0.074682,0.003671,0.003671,1.059865,0.074682,0.069213,0.008047,26.7243,1665.8,-0.2
1988,CMSX2 32,CMSX-2,760,1033.15,750,569,2.872,42.532,3,4,48,1300,1050,850,0.3,0.425103,0.424215,0.417115,0.485229,0.474458,0.465826,1.141441,0.019403,0.000888,0.000888,1.141441,0.019403,0.007988,0.010771,26.7243,1665.8,-0.2
1988,CMSX2 33,CMSX-2,760,1033.15,750,780,13.149,31.852,3,4,48,1300,1050,850,0.3,0.477775,0.477323,0.367192,0.48732,0.486724,0.383422,1.019977,0.103898,0.000452,0.000452,1.019977,0.103898,0.110583,0.000596,26.7243,1665.8,-0.2
1988,CMSX2 34,CMSX-2,760,1033.15,750,3.5,38.379,6.622,3,4,48,1300,1050,850,0.3,0.450053,0.4491,0.356661,0.465756,0.464511,0.313758,1.034893,0.151998,0.000953,0.000953,1.034893,0.151998,0.093392,0.001245,26.7243,1665.8,-0.2
1988,CMSX2 35,CMSX-2,760,1033.15,750,3,44.087,4.11,3,4,48,1300,1050,850,0.3,0.431255,0.417022,0.392097,0.489753,0.443688,0.257202,1.135646,0.232551,0.014233,0.014233,1.135646,0.232551,0.039158,0.046065,26.7243,1665.8,-0.2
1988,CMSX2 36,CMSX-2,760,1033.15,750,1138,1.988,43.177,3,4,48,1300,1050,850,0.45,0.420877,0.420522,0.413073,0.481072,0.475068,0.466449,1.143022,0.014623,0.000355,0.000355,1.143022,0.014623,0.007804,0.006004,26.7243,1665.8,-0.2
1988,CMSX2 37,CMSX-2,760,1033.15,750,759,5.813,40.111,3,4,48,1300,1050,850,0.45,0.440021,0.436317,0.424086,0.494615,0.474361,0.458218,1.124073,0.036397,0.003704,0.003704,1.124073,0.036397,0.015935,0.020254,26.7243,1665.8,-0.2
1988,CMSX2 38,CMSX-2,760,1033.15,750,664,14.188,30.837,3,4,48,1300,1050,850,0.45,0.481789,0.479301,0.365429,0.486269,0.483454,0.377267,1.0093,0.109002,0.002488,0.002488,1.0093,0.109002,0.11636,0.002815,26.7243,1665.8,-0.2
1988,CMSX2 39,CMSX-2,760,1033.15,750,550,13.324,34.054,3,4,48,1300,1050,850,0.45,0.469364,0.450408,0.42638,0.495269,0.463535,0.426054,1.055191,0.069215,0.018956,0.018956,1.055191,0.069215,0.042984,0.031734,26.7243,1665.8,-0.2
1988,CMSX2 40,CMSX-2,760,1033.15,750,484,22.873,29.201,3,4,48,1300,1050,850,0.45,0.472135,0.422609,0.413257,0.448595,0.416554,0.401208,0.950141,0.047387,0.049526,0.049526,0.950141,0.047387,0.058878,0.032041,26.7243,1665.8,-0.2
1988,CMSX2 41,CMSX-2,760,1033.15,750,30,34.882,13.344,3,4,48,1300,1050,850,0.45,0.48403,0.42273,0.349966,0.481508,0.393872,0.356857,0.994789,0.124651,0.0613,0.0613,0.994789,0.124651,0.134064,0.087636,26.7243,1665.8,-0.2
1988,CMSX2 42,CMSX-2,760,1033.15,750,8,36.585,19.141,3,4,48,1300,1050,850,0.45,0.466967,0.350924,0.349125,0.471171,0.33764,0.304568,1.009002,0.166603,0.116043,0.116043,1.009002,0.166603,0.117842,0.133531,26.7243,1665.8,-0.2
1988,CMSX2 43,CMSX-2,760,1033.15,750,8,38.673,25.935,3,4,48,1300,1050,850,0.45,0.421864,0.351028,0.317167,0.42668,0.342498,0.304011,1.011415,0.122669,0.070836,0.070836,1.011415,0.122669,0.104697,0.084182,26.7243,1665.8,-0.2
