global_index,fold,paper_id,spec_no,orientation_zone,y_true_log10h,y_pred_log10h,Inv_T_K_value_scaled,Inv_T_K_shap,Gamma_prime_size_value_scaled,Gamma_prime_size_shap,L_value_scaled,L_shap,G_value_scaled,G_shap,SFE_value_scaled,SFE_shap,Misfit_value_scaled,Misfit_shap,cos_001_value_scaled,cos_001_shap,cos_011_value_scaled,cos_011_shap,MultislipPropensity_110_value_scaled,MultislipPropensity_110_shap,Log_RSS_110_value_scaled,Log_RSS_110_shap,stress_MPa_value_scaled,stress_MPa_shap,T_C_value_scaled,T_C_shap
91,4,mackay,E,interior,1.3010300397872925,1.0251922607421875,0.7364854216575623,1.9557100319521845,-1.224415898323059,-0.36622169916860103,-1.0118752717971802,-0.3966233531793268,0.9274911880493164,-0.5959438081080958,-0.37652283906936646,-0.11995512541554937,0.22389790415763855,-0.006151856245886462,0.4022057354450226,0.06058688013008153,1.0499664545059204,-0.017145528787443756,0.7121296525001526,0.03740601967369003,0.9608466029167175,-1.1387871831249532,0.7674868702888489,-0.6908705326812468,-0.7310155034065247,0.11528033083999131
105,4,mackay,T,near_001,1.991226077079773,2.1568641662597656,0.7364854216575623,1.9035507670966085,0.5296057462692261,-0.018896501547990135,-1.0118752717971802,-0.38190906550122977,0.9274911880493164,-0.5290991934082969,-0.37652283906936646,-0.11877493534316427,0.22389790415763855,-0.0634879122701033,1.1344575881958008,0.8444154828401526,-0.9900479912757874,-0.3091897989583868,0.7121296525001526,0.039643505104778855,0.8205639719963074,-0.8342787213520745,0.7674868702888489,-0.6578374195022867,-0.7310155034065247,0.10762667247922535
129,4,G.M. Han et al.,M,interior,0.4771212637424469,0.8076324462890625,0.8847374320030212,2.2513257200690044,0.5296057462692261,-0.040460184252727946,-0.9426656365394592,-0.34926842114303236,0.9618086814880371,-0.4562142088661281,-0.5332291126251221,-0.22796264696320415,-0.8499795794487,0.277623143290004,-0.8047240376472473,-0.7599466456877573,1.220908761024475,-0.07890250570803953,0.3730076253414154,0.06653115091130336,0.9183760285377502,-1.268420212633187,1.023308277130127,-0.9131203743916477,-0.8483052849769592,0.12572995419542166
135,4,G.M. Han et al.,C,interior,2.161367893218994,2.150705337524414,-1.4796857833862305,-5.222684502390572,0.5296057462692261,-0.008503188061778244,1.212721347808838,0.45387520437436096,-1.367224931716919,0.9232900305660436,1.4879817962646484,0.9448261746654174,0.9199296236038208,-0.3837476990830925,1.0388174057006836,0.5398636950256859,-0.3138888478279114,-0.040120051130178115,0.6065260171890259,-0.011664634447838489,-1.13753080368042,1.678370288328851,-1.3992432355880737,1.582750715068052,1.497490644454956,-0.2815981854382441
150,4,G.M. Han et al.,R,interior,2.1553361415863037,2.0995235443115234,-1.4796857833862305,-4.231704829163237,0.5296057462692261,-0.031181452010583154,1.212721347808838,0.4163864980971123,-1.367224931716919,0.6532896548951115,1.4879817962646484,0.6426983366040022,0.9199296236038208,-0.2109377254244685,0.14243151247501373,-0.14066747787802894,1.0024477243423462,0.36067949675010036,-2.165937662124634,-0.043195079922350936,-1.0899147987365723,1.4924594083724523,-1.3992432355880737,1.4285400830762292,1.497490644454956,-0.2547264867332104
159,4,Wang et al.,SC 5,near_011,2.065579652786255,2.305318832397461,-1.8608953952789307,-5.394967071380692,0.5296057462692261,-0.008995776962319523,2.4584953784942627,0.5301094100479559,-2.3388397693634033,0.7642165368768101,1.1329811811447144,0.5439086281780434,-0.27823925018310547,0.05397204215924625,-0.7347748279571533,-0.4790611919042179,1.5184768438339233,0.2212411329105511,0.7121296525001526,0.09763460947276373,-2.0303754806518555,2.618663099559401,-1.651188611984253,1.677793683873147,2.0001611709594727,-0.44956708365980597
172,4,Lukas et al,Fig2b_CM186LC_3,near_111,2.3074960708618164,2.298065185546875,-0.0038215643726289272,-0.16431581824739466,-0.05506812036037445,-0.08001963094334523,-0.1022624671459198,0.01686723685593706,0.33953553438186646,-0.05750940281511868,-0.2686785161495209,-0.10974615849734684,-1.3819466829299927,0.39075370032286166,-1.5737749338150024,-0.5948738076748007,-0.44908979535102844,0.025797423349979393,0.7121296525001526,0.013024123829261663,-0.22107036411762238,0.4588200127153686,0.10467676818370819,0.03047646871750244,-0.09429943561553955,0.06636087669025142
180,4,Lukas et al,Fig2b_CMSX4_5,near_111,2.877371311187744,3.010051727294922,-0.0038215643726289272,-0.32905770798414946,1.1142796277999878,-0.06503043094054903,0.15480203926563263,0.18218896581592797,0.09716802835464478,0.05130330087371357,-0.5197881460189819,-0.16728091670350387,-1.1731371879577637,0.36664723912051755,-1.5737749338150024,-0.5876905302352862,-0.44908979535102844,0.061404663380356765,0.7121296525001526,0.030557800090858213,-0.42028480768203735,0.8600120442174699,-0.1821533441543579,0.43233992057644427,-0.09429943561553955,0.05918054475683956
5,5,1988,CMSX2 6,interior,2.4563660621643066,2.4540786743164062,-1.5250482559204102,-4.107738557462303,-1.2407065629959106,-0.0506328812052162,1.3133924007415771,0.3965700381986237,-1.528002381324768,0.5010410834583529,1.7686362266540527,0.5879763238452899,1.031246542930603,-0.17558943602608784,-0.9191080927848816,-0.44681422340187527,0.835250198841095,0.15302512032917182,0.11050908267498016,0.017727221944935426,-1.7537320852279663,1.634525199620449,-1.5556105375289917,1.7435167644451592,1.5578138828277588,0.07989370263507556
7,5,1988,CMSX2 8,near_111,2.833784341812134,2.6295108795166016,-1.5250482559204102,-4.523677690398514,-1.2407065629959106,-0.017157687349613492,1.3133924007415771,0.4485007425676114,-1.528002381324768,0.4963942518618299,1.7686362266540527,0.603524227705198,1.031246542930603,-0.13801547374777365,-1.3639096021652222,-0.4486065879407798,-0.1774946004152298,-0.02162313821243507,0.2298184335231781,0.014867398431924455,-2.148141860961914,2.1520386356204546,-1.5556105375289917,1.8883685393383396,1.5578138828277588,0.09291617293371982
