paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma_prime_size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110,y_log10,T_K,Inv_T_K,Log_Stress,cos_001,cos_011,RSS_110,Log_RSS_110,Unnamed: 22,orientation_zone,cv_fold
1988,Alloy454 15,760.0,758.0,377.0,15.665,30.033,0.5,0.36321,63.407,19.237,-0.208,0.486605,0.97045653,2.576341350205793,1033.15,0.9679136621013404,2.8796692056320534,0.9628568672048274,0.8657372808311875,368.84659,2.5668457727448417,,interior,1
1988,Alloy454 16,760.0,758.0,323.0,26.887,18.324,0.5,0.36321,63.407,19.237,-0.208,0.495281,0.971519198,2.509202522331103,1033.15,0.9679136621013404,2.8796692056320534,0.8919001608285729,0.9492938695004347,375.422998,2.574520873502601,,interior,4
1988,Alloy454 17,760.0,758.0,25.0,36.925,10.608,0.5,0.36321,63.407,19.237,-0.208,0.475235,0.888425726,1.3979400086720377,1033.15,0.9679136621013404,2.8796692056320534,0.7994225996253805,0.9829096551143689,360.22813,2.556577623605019,,interior,2
1988,Alloy454 18,760.0,758.0,19.0,37.444,19.919,0.5,0.36321,63.407,19.237,-0.208,0.460089,0.761187509,1.2787536009528289,1033.15,0.9679136621013404,2.8796692056320534,0.7939479551716937,0.9401752011789125,348.74746200000004,2.5425110557270854,,interior,9
1988,Alloy454 20,760.0,758.0,71.0,30.789,28.894,0.5,0.36321,63.407,19.237,-0.208,0.439173,0.948284617,1.8512583487190752,1033.15,0.9679136621013404,2.8796692056320534,0.8590581862729213,0.875515131412482,332.893134,2.5223048378221424,,interior,3
1988,Alloy454 21,760.0,758.0,36.0,39.423,29.142,0.5,0.36321,63.407,19.237,-0.208,0.394468,0.951980896,1.5563025007672873,1033.15,0.9679136621013404,2.8796692056320534,0.7724787140857208,0.8734154858551716,299.00674399999997,2.4756809838058866,,interior,8
1988,Alloy454 22,760.0,758.0,30.0,46.568,21.545,0.5,0.36321,63.407,19.237,-0.208,0.408375,0.943378023,1.4771212547196624,1033.15,0.9679136621013404,2.8796692056320534,0.6874931994709723,0.930129431657114,309.54825,2.4907283531155473,,interior,0
1988,CMSX2 19,760.0,750.0,412.0,0.0,45.0,0.23,0.36244,64.959,31.316,-0.375,0.408248,1.0,2.6148972160331345,1033.15,0.9679136621013404,2.8750612633917,1.0,0.7071067811865476,306.186,2.485985329204346,,near_001,6
1988,CMSX2 20,760.0,750.0,230.0,3.424,41.868,0.23,0.36244,64.959,31.316,-0.375,0.429478,0.997550515,2.361727836017593,1033.15,0.9679136621013404,2.8750612633917,0.998214898153424,0.7446844181881109,322.1085,2.5080021854045684,,near_001,2
1988,CMSX2 21,760.0,750.0,1203.0,50.821,32.612,0.23,0.36244,64.959,31.316,-0.375,0.312267,0.948089295,3.0802656273398448,1033.15,0.9679136621013404,2.8750612633917,0.6317452282291678,0.8423395386415808,234.20025,2.369587354329694,,near_111,3
1988,CMSX2 22,760.0,750.0,1012.0,52.396,31.741,0.23,0.36244,64.959,31.316,-0.375,0.3139,0.984415419,3.0051805125037805,1033.15,0.9679136621013404,2.8750612633917,0.61020047466596,0.8504348719942609,235.425,2.3718525790917426,,near_111,6
1988,CMSX2 23,760.0,750.0,459.0,52.869,32.116,0.3,0.36244,64.959,31.316,-0.375,0.308759,0.991650446,2.661812685537261,1033.15,0.9679136621013404,2.8750612633917,0.6036394338676679,0.8469734938762619,231.56925,2.3646808890711473,,near_111,3
1988,CMSX2 24,760.0,750.0,518.0,48.632,30.288,0.3,0.36244,64.959,31.316,-0.375,0.341913,0.913282034,2.714329759745233,1033.15,0.9679136621013404,2.8750612633917,0.6608928211510494,0.8635011996880498,256.43475,2.408976876972537,,near_111,7
1988,CMSX2 25,760.0,750.0,347.0,48.487,28.195,0.3,0.36244,64.959,31.316,-0.375,0.359182,0.930057742,2.5403294747908736,1033.15,0.9679136621013404,2.8750612633917,0.6627899638209579,0.8813446865428339,269.3865,2.43037582775515,,interior,9
1988,CMSX2 26,760.0,750.0,15.0,41.427,19.92,0.3,0.36244,64.959,31.316,-0.375,0.440966,0.840912905,1.1760912590556813,1033.15,0.9679136621013404,2.8750612633917,0.7497993504802006,0.9401692548500502,330.72450000000003,2.519466368547463,,interior,8
1988,CMSX2 27,760.0,750.0,50.0,48.361,20.755,0.3,0.36244,64.959,31.316,-0.375,0.402644,0.993686731,1.6989700043360187,1033.15,0.9679136621013404,2.8750612633917,0.6644350688207212,0.9351042883997032,301.983,2.4799824952286738,,interior,5
1988,CMSX2 28,760.0,750.0,4.0,40.357,11.106,0.3,0.36244,64.959,31.316,-0.375,0.462962,0.853229855,0.6020599913279624,1033.15,0.9679136621013404,2.8750612633917,0.7620245015550923,0.9812724977585532,347.2215,2.540606608907307,,interior,4
1988,CMSX2 30,760.0,750.0,343.0,11.118,35.836,0.3,0.36244,64.959,31.316,-0.375,0.461945,0.970977064,2.5352941200427703,1033.15,0.9679136621013404,2.8750612633917,0.9812321330088193,0.8106961191690542,346.45875,2.5396515341460617,,interior,8
1988,CMSX2 31,760.0,750.0,430.0,9.904,35.24,0.3,0.36244,64.959,31.316,-0.375,0.466069,0.992123484,2.6334684555795866,1033.15,0.9679136621013404,2.8750612633917,0.9850973208386125,0.8167422735612874,349.55175,2.543511480727481,,interior,5
1988,CMSX2 32,760.0,750.0,569.0,2.872,42.532,0.3,0.36244,64.959,31.316,-0.375,0.425103,0.997911094,2.7551122663950713,1033.15,0.9679136621013404,2.8750612633917,0.9987439623008104,0.736899901088385,318.82725,2.503555433234966,,near_001,1
1988,CMSX2 33,760.0,750.0,780.0,13.149,31.852,0.3,0.36244,64.959,31.316,-0.375,0.477775,0.999053948,2.8920946026904804,1033.15,0.9679136621013404,2.8750612633917,0.9737817763594336,0.8494140931209154,358.33125,2.5542846845567038,,interior,9
1988,CMSX2 34,760.0,750.0,3.5,38.379,6.622,0.3,0.36244,64.959,31.316,-0.375,0.450053,0.997882472,0.5440680443502757,1033.15,0.9679136621013404,2.8750612633917,0.783921067233564,0.9933285596750117,337.53974999999997,2.528324924394079,,interior,3
1988,CMSX2 36,760.0,750.0,1138.0,1.988,43.177,0.45,0.36244,64.959,31.316,-0.375,0.420877,0.999156523,3.056142262059052,1033.15,0.9679136621013404,2.8750612633917,0.9993981144334457,0.7292433635003961,315.65775,2.4992164565523836,,near_001,3
1988,CMSX2 37,760.0,750.0,759.0,5.813,40.111,0.45,0.36244,64.959,31.316,-0.375,0.440021,0.99158222,2.88024177589548,1033.15,0.9679136621013404,2.8750612633917,0.9948577542740802,0.7647977239627628,330.01574999999997,2.5185346670744466,,near_001,0
1988,CMSX2 38,760.0,750.0,664.0,14.188,30.837,0.45,0.36244,64.959,31.316,-0.375,0.481789,0.994835914,2.8221680793680175,1033.15,0.9679136621013404,2.8750612633917,0.9694967056912042,0.8586290549969655,361.34175,2.5579181435417033,,interior,2
1988,CMSX2 39,760.0,750.0,550.0,13.324,34.054,0.45,0.36244,64.959,31.316,-0.375,0.469364,0.959613434,2.7403626894942437,1033.15,0.9679136621013404,2.8750612633917,0.9730824243945284,0.8285101775355678,352.023,2.5465710397473362,,interior,0
1988,CMSX2 40,760.0,750.0,484.0,22.873,29.201,0.45,0.36244,64.959,31.316,-0.375,0.472135,0.895102036,2.6848453616444123,1033.15,0.9679136621013404,2.8750612633917,0.921368673618376,0.8729135623795168,354.10125,2.549127459848041,,interior,5
1988,CMSX2 42,760.0,750.0,8.0,36.585,19.141,0.45,0.36244,64.959,31.316,-0.375,0.466967,0.751496358,0.9030899869919435,1033.15,0.9679136621013404,2.8750612633917,0.8029735389844671,0.9447145180233107,350.22525,2.5443474539700315,,interior,6
1988,CMSX2 43,760.0,750.0,8.0,38.673,25.935,0.45,0.36244,64.959,31.316,-0.375,0.421864,0.832088066,0.9030899869919435,1033.15,0.9679136621013404,2.8750612633917,0.7807249593342367,0.8992907841054398,316.398,2.5002337295926775,,interior,5
1988,CMSX2 44,760.0,750.0,23.0,46.866,27.164,0.45,0.36244,64.959,31.316,-0.375,0.374081,0.903691981,1.3617278360175928,1033.15,0.9679136621013404,2.8750612633917,0.6837069403693632,0.8897034008065748,280.56075,2.4480269138387514,,interior,1
